Age,Primary streaming service,Hours per day,While working,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Hip hop],Frequency [Pop],Frequency [Rock],Anxiety,Depression,Insomnia,Music effects
28,Spotify,6,Yes,Rock,No,No,144,Rarely,Sometimes,Very frequently,10,8,7,Improve
32,Spotify,7,Yes,Pop,Yes,Yes,120,Sometimes,Very frequently,Very frequently,10,8,2,Improve
32,Other streaming service,1,No,EDM,Yes,No,120,Sometimes,Sometimes,Rarely,3,6,2,No effect
21,Spotify,3,Yes,Rock,Yes,No,160,Sometimes,Rarely,Very frequently,8,9,2,Improve
18,Spotify,2,Yes,Video game music,No,Yes,101,Rarely,Rarely,Sometimes,8,3,8,Improve
19,Spotify,3,Yes,Classical,Yes,No,122,Never,Very frequently,Rarely,3,3,1,Improve
18,Apple Music,2,Yes,Pop,Yes,Yes,,Rarely,Very frequently,Rarely,6,5,2,Improve
16,YouTube Music,3,Yes,Pop,No,No,,Rarely,Very frequently,Very frequently,0,0,4,No effect
25,Spotify,1.5,Yes,Pop,No,No,61,Rarely,Very frequently,Very frequently,6,5,0,Improve
17,Spotify,4,Yes,Lofi,Yes,Yes,79,Sometimes,Very frequently,Rarely,3,8,0,Improve
16,Spotify,2,Yes,Rap,Yes,Yes,126,Very frequently,Very frequently,Never,1,8,0,No effect
27,Spotify,10,Yes,Metal,Yes,Yes,185,Sometimes,Very frequently,Very frequently,5,6,6,Improve
53,Spotify,7,Yes,Pop,Yes,Yes,92,Sometimes,Very frequently,Very frequently,0,0,0,Improve
25,Spotify,1,Yes,EDM,No,No,107,Rarely,Never,Rarely,0,8,0,Improve
34,Spotify,2,No,Metal,No,No,120,Never,Rarely,Sometimes,3,7,0,Improve
22,Other streaming service,6,Yes,Jazz,Yes,Yes,140,Very frequently,Very frequently,Sometimes,8,8,8,Improve
17,Spotify,2,Yes,Jazz,Yes,No,94,Rarely,Very frequently,Very frequently,5,2,3,Improve
26,Spotify,3,Yes,Folk,Yes,No,160,Rarely,Sometimes,Sometimes,8,8,3,Improve
19,Spotify,8,Yes,EDM,Yes,No,174,Sometimes,Sometimes,Sometimes,6,8,8,Improve
21,Spotify,3,Yes,Pop,Yes,Yes,136,Very frequently,Very frequently,Sometimes,6,8,6,Worsen
32,Spotify,3,Yes,Rock,Yes,Yes,144,Sometimes,Sometimes,Very frequently,6,6,7,Improve
21,I do not use a streaming service.,3,Yes,Rock,No,No,77,Sometimes,Rarely,Very frequently,9,10,3,No effect
25,Spotify,2,No,Pop,No,No,120,Sometimes,Very frequently,Very frequently,7,7,5,Improve
26,Spotify,1,No,Rock,No,No,,Rarely,Sometimes,Very frequently,10,7,2,No effect
21,Spotify,2,Yes,Metal,Yes,Yes,,Rarely,Rarely,Very frequently,1,3,0,No effect
17,Spotify,2,Yes,Pop,No,Yes,,Rarely,Very frequently,Never,5,3,2,Improve
28,I do not use a streaming service.,4,Yes,Rock,Yes,Yes,194,Sometimes,Sometimes,Very frequently,6,8,1,Improve
41,YouTube Music,4,Yes,Pop,Yes,No,60,Very frequently,Very frequently,Very frequently,7,2,0,Improve
18,Spotify,1,Yes,Metal,Yes,Yes,190,Sometimes,Rarely,Very frequently,6,9,9,Improve
22,Spotify,2,No,R&B,No,Yes,87,Rarely,Sometimes,Rarely,1,1,4,No effect
49,Other streaming service,1,Yes,EDM,Yes,No,156,Sometimes,Sometimes,Very frequently,8,8,2,Improve
21,Spotify,3,Yes,Metal,Yes,No,150,Rarely,Very frequently,Very frequently,3,3,7,No effect
27,Spotify,10,Yes,Metal,Yes,Yes,194,Sometimes,Very frequently,Very frequently,8,8,3,Improve
19,Spotify,1,No,Metal,Yes,Yes,160,Rarely,Sometimes,Very frequently,6,4,0,No effect
27,Spotify,3,Yes,Metal,Yes,Yes,171,Sometimes,Never,Sometimes,1,0,0,Improve
27,Spotify,1.5,Yes,Rock,No,No,95,Sometimes,Sometimes,Very frequently,5,5,4,Improve
42,YouTube Music,2.5,Yes,Rock,No,Yes,148,Sometimes,Rarely,Sometimes,8,8,7,Improve
60,Pandora,2,Yes,Gospel,No,No,119,Never,Sometimes,Sometimes,3,0,2,Improve
19,YouTube Music,5,Yes,Metal,No,Yes,136,Sometimes,Never,Very frequently,0,5,1,No effect
20,Apple Music,2,Yes,Pop,Yes,No,141,Sometimes,Very frequently,Sometimes,6,3,0,Improve
28,Spotify,2,No,Metal,No,No,146,Rarely,Rarely,Sometimes,1,7,5,Improve
16,I do not use a streaming service.,2,No,Video game music,Yes,No,,Sometimes,Sometimes,Rarely,4,2,1,No effect
18,Spotify,2,Yes,R&B,No,Yes,164,Rarely,Very frequently,Never,5,6,0,No effect
34,Spotify,1,Yes,Rock,Yes,Yes,,Never,Rarely,Very frequently,1,0,0,No effect
18,YouTube Music,1.5,Yes,Pop,Yes,No,,Rarely,Very frequently,Rarely,8,6,5,Improve
21,Spotify,5,Yes,Folk,Yes,Yes,128,Rarely,Very frequently,Very frequently,9,4,0,Improve
38,Spotify,0.5,No,Rock,Yes,Yes,,Sometimes,Very frequently,Very frequently,4,6,6,Improve
17,Spotify,2,Yes,Rock,No,Yes,,Never,Sometimes,Very frequently,7,3,1,Improve
